Skew Scale,Structure ID,Unique Structures,Alpha,Power,Probability of Structure,Expected Observations,Minimum Required Sample Size
0.5,27,1000,0.01,0.9,0.000317761924229528,3177.61924229528,32
0.5,27,1000,0.05,0.8,0.000317761924229528,3177.61924229528,17
0.5,27,1000,0.05,0.9,0.000317761924229528,3177.61924229528,23
0.5,28,1000,0.01,0.8,0.002202216887733518,22022.16887733518,26
0.5,28,1000,0.01,0.9,0.002202216887733518,22022.16887733518,32
0.5,28,1000,0.05,0.8,0.002202216887733518,22022.16887733518,17
0.5,28,1000,0.05,0.9,0.002202216887733518,22022.16887733518,23
0.5,29,1000,0.01,0.8,0.0012966556104132387,12966.556104132387,26
0.5,29,1000,0.01,0.9,0.0012966556104132387,12966.556104132387,32
0.5,29,1000,0.05,0.8,0.0012966556104132387,12966.556104132387,17
0.5,29,1000,0.05,0.9,0.0012966556104132387,12966.556104132387,23
0.5,30,1000,0.01,0.8,0.001691760600250052,16917.60600250052,26
0.5,30,1000,0.01,0.9,0.001691760600250052,16917.60600250052,32
0.5,30,1000,0.05,0.8,0.001691760600250052,16917.60600250052,17
0.5,30,1000,0.05,0.9,0.001691760600250052,16917.60600250052,23
0.5,31,1000,0.01,0.8,0.0008411347586199037,8411.347586199037,26
0.5,31,1000,0.01,0.9,0.0008411347586199037,8411.347586199037,32
0.5,31,1000,0.05,0.8,0.0008411347586199037,8411.347586199037,17
0.5,31,1000,0.05,0.9,0.0008411347586199037,8411.347586199037,23
0.5,32,1000,0.01,0.8,0.0007558963665648139,7558.963665648139,26
0.5,32,1000,0.01,0.9,0.0007558963665648139,7558.963665648139,32
0.5,32,1000,0.05,0.8,0.0007558963665648139,7558.963665648139,17
0.5,32,1000,0.05,0.9,0.0007558963665648139,7558.963665648139,23
0.5,33,1000,0.01,0.8,0.00030680119613090995,3068.0119613090997,26
0.5,33,1000,0.01,0.9,0.00030680119613090995,3068.0119613090997,32
0.5,33,1000,0.05,0.8,0.00030680119613090995,3068.0119613090997,17
0.5,33,1000,0.05,0.9,0.00030680119613090995,3068.0119613090997,23
0.5,34,1000,0.01,0.8,0.00022297752588754466,2229.7752588754465,26
0.5,34,1000,0.01,0.9,0.00022297752588754466,2229.7752588754465,32
0.5,34,1000,0.05,0.8,0.00022297752588754466,2229.7752588754465,17
0.5,34,1000,0.05,0.9,0.00022297752588754466,2229.7752588754465,23
0.5,35,1000,0.01,0.8,0.000884927754169432,8849.27754169432,26
0.5,35,1000,0.01,0.9,0.000884927754169432,8849.27754169432,32
0.5,35,1000,0.05,0.8,0.000884927754169432,8849.27754169432,17
0.5,35,1000,0.05,0.9,0.000884927754169432,8849.27754169432,23
0.5,36,1000,0.01,0.8,0.0016894277652198665,16894.277652198663,26
0.5,36,1000,0.01,0.9,0.0016894277652198665,16894.277652198663,32
0.5,36,1000,0.05,0.8,0.0016894277652198665,16894.277652198663,17
0.5,36,1000,0.05,0.9,0.0016894277652198665,16894.277652198663,23
0.5,37,1000,0.01,0.8,0.0013978777839859053,13978.777839859053,26
0.5,37,1000,0.01,0.9,0.0013978777839859053,13978.777839859053,32
0.5,37,1000,0.05,0.8,0.0013978777839859053,13978.777839859053,17
0.5,37,1000,0.05,0.9,0.0013978777839859053,13978.777839859053,23
0.5,38,1000,0.01,0.8,0.003766920153883076,37669.20153883076,26
0.5,38,1000,0.01,0.9,0.003766920153883076,37669.20153883076,32
0.5,38,1000,0.05,0.8,0.003766920153883076,37669.20153883076,17
0.5,38,1000,0.05,0.9,0.003766920153883076,37669.20153883076,23
0.5,39,1000,0.01,0.8,0.0002952624401125433,2952.6244011254335,26
0.5,39,1000,0.01,0.9,0.0002952624401125433,2952.6244011254335,32
0.5,39,1000,0.05,0.8,0.0002952624401125433,2952.6244011254335,17
0.5,39,1000,0.05,0.9,0.0002952624401125433,2952.6244011254335,23
0.5,40,1000,0.01,0.8,0.0017764243974686517,17764.243974686517,26
0.5,40,1000,0.01,0.9,0.0017764243974686517,17764.243974686517,32
0.5,40,1000,0.05,0.8,0.0017764243974686517,17764.243974686517,17
0.5,40,1000,0.05,0.9,0.0017764243974686517,17764.243974686517,23
0.5,41,1000,0.01,0.8,0.0006003092344351255,6003.092344351256,26
0.5,41,1000,0.01,0.9,0.0006003092344351255,6003.092344351256,32
0.5,41,1000,0.05,0.8,0.0006003092344351255,6003.092344351256,17
0.5,41,1000,0.05,0.9,0.0006003092344351255,6003.092344351256,23
0.5,42,1000,0.01,0.8,5.648030040788957e-05,564.8030040788957,26
0.5,42,1000,0.01,0.9,5.648030040788957e-05,564.8030040788957,32
0.5,42,1000,0.05,0.8,5.648030040788957e-05,564.8030040788957,17
0.5,42,1000,0.05,0.9,5.648030040788957e-05,564.8030040788957,23
0.5,43,1000,0.01,0.8,0.0008540373551932319,8540.373551932318,26
0.5,43,1000,0.01,0.9,0.0008540373551932319,8540.373551932318,32
0.5,43,1000,0.05,0.8,0.0008540373551932319,8540.373551932318,17
0.5,43,1000,0.05,0.9,0.0008540373551932319,8540.373551932318,23
0.5,44,1000,0.01,0.8,1.73291905325371e-05,173.291905325371,26
0.5,44,1000,0.01,0.9,1.73291905325371e-05,173.291905325371,32
0.5,44,1000,0.05,0.8,1.73291905325371e-05,173.291905325371,17
0.5,44,1000,0.05,0.9,1.73291905325371e-05,173.291905325371,23
0.5,45,1000,0.01,0.8,0.0005939514735058581,5939.514735058581,26
0.5,45,1000,0.01,0.9,0.0005939514735058581,5939.514735058581,32
0.5,45,1000,0.05,0.8,0.0005939514735058581,5939.514735058581,17
0.5,45,1000,0.05,0.9,0.0005939514735058581,5939.514735058581,23
0.5,46,1000,0.01,0.8,0.00028162968957524276,2816.2968957524276,26
0.5,46,1000,0.01,0.9,0.00028162968957524276,2816.2968957524276,32
0.5,46,1000,0.05,0.8,0.00028162968957524276,2816.2968957524276,17
0.5,46,1000,0.05,0.9,0.00028162968957524276,2816.2968957524276,23
0.5,47,1000,0.01,0.8,0.0018900221064863598,18900.2210648636,26
0.5,47,1000,0.01,0.9,0.0018900221064863598,18900.2210648636,32
0.5,47,1000,0.05,0.8,0.0018900221064863598,18900.2210648636,17
0.5,47,1000,0.05,0.9,0.0018900221064863598,18900.2210648636,23
0.5,48,1000,0.01,0.8,0.0007067535220142584,7067.535220142584,26
0.5,48,1000,0.01,0.9,0.0007067535220142584,7067.535220142584,32
0.5,48,1000,0.05,0.8,0.0007067535220142584,7067.535220142584,17
0.5,48,1000,0.05,0.9,0.0007067535220142584,7067.535220142584,23
0.5,49,1000,0.01,0.8,0.0010601709305243087,10601.709305243086,26
0.5,49,1000,0.01,0.9,0.0010601709305243087,10601.709305243086,32
0.5,49,1000,0.05,0.8,0.0010601709305243087,10601.709305243086,17
0.5,49,1000,0.05,0.9,0.0010601709305243087,10601.709305243086,23
